,Name,Price,Rating
79,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.40,Three
80,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five
81,Princess Between Worlds (Wide-Awake Princess #5),13.34,Five
82,"Pop Gun War, Volume 1: Gift",18.97,One
83,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,Two
84,Patience,10.16,Three
85,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four
86,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One
87,Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,One
88,On a Midnight Clear,14.07,Three
89,Obsidian (Lux #1),14.86,Two
90,My Paris Kitchen: Recipes and Stories,33.37,Two
91,Masks and Shadows,56.40,Two
92,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Four
93,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two
94,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three
95,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two
96,"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,One
97,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.90,Two
98,Join,35.67,Five
99,In the Country We Love: My Family Divided,22.00,Four
100,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,Five
101,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,Two
102,I am a Hero Omnibus Volume 1,54.63,Three
103,How to Be Miserable: 40 Strategies You Already Use,46.03,One
104,Her Backup Boyfriend (The Sorensen Family #1),33.97,One
105,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,Two
106,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Three
107,First and First (Five Boroughs #3),15.97,Four
108,Fifty Shades Darker (Fifty Shades #2),21.96,One
109,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,Two
110,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,Two
111,Danganronpa Volume 1,51.99,Four
112,Crown of Midnight (Throne of Glass #2),43.29,Three
113,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,Four
114,Camp Midnight,17.08,Four
115,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,Five
116,Burning,28.81,Three
117,Bossypants,49.46,Two
118,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,Two
119,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,Two
120,Algorithms to Live By: The Computer Science of Human Decisions,30.81,One
121,A World of Flavor: Your Gluten Free Passport,42.95,One
122,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,Five
123,A Murder in Time,16.64,One
124,A Flight of Arrows (The Pathfinders #2),55.53,Five
125,A Fierce and Subtle Poison,28.13,Four
126,A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,One
127,(Un)Qualified: How God Uses Broken People to Do Big Things,54.00,Five
128,You Are What You Love: The Spiritual Power of Habit,21.87,Four
129,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.30,Four
130,Tuesday Nights in 1980,21.04,Two
131,Tracing Numbers on a Train,41.60,Three
132,Throne of Glass (Throne of Glass #1),35.07,Three
133,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,One
134,Thirteen Reasons Why,52.72,One
135,The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,58.08,Four
136,The Wedding Dress,24.12,One
137,The Vacationers,42.15,Four
138,The Third Wave: An Entrepreneur’s Vision of the Future,12.61,Five
139,The Stranger,17.44,Four
140,The Shadow Hero (The Shadow Hero),33.14,One
141,The Secret (The Secret #1),27.37,Four
142,The Regional Office Is Under Attack!,51.36,Five
143,The Psychopath Test: A Journey Through the Madness Industry,36.00,Two
144,The Project,10.65,One
145,The Power of Now: A Guide to Spiritual Enlightenment,43.54,Two
146,The Omnivore's Dilemma: A Natural History of Four Meals,38.21,Two
147,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,Five
148,The Murder of Roger Ackroyd (Hercule Poirot #4),44.10,Four
149,The Mistake (Off-Campus #2),43.29,Three
150,The Matchmaker's Playbook (Wingmen Inc. #1),55.85,One
151,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.60,Two
152,The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,One
153,The Kite Runner,41.82,Four
154,The House by the Lake,36.95,One
155,The Glittering Court (The Glittering Court #1),44.28,One
156,The Girl on the Train,55.02,Two
157,The Genius of Birds,17.24,One
158,The Emerald Mystery,23.15,Two
159,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,One
160,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.00,Three
161,The Artist's Way: A Spiritual Path to Higher Creativity,38.49,Five
162,The Art of War,33.34,Five
163,The Argonauts,10.93,Two
164,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,Three
165,Suddenly in Love (Lake Haven #1),55.99,Two
166,Something More Than This,16.24,Four
167,Soft Apocalypse,26.12,Two
168,So You've Been Publicly Shamed,12.23,Two
169,Shoe Dog: A Memoir by the Creator of NIKE,23.99,Two
170,"Shobu Samurai, Project Aryoku (#3)",29.06,Three
171,Secrets and Lace (Fatal Hearts #1),20.27,One
172,Scarlett Epstein Hates It Here,43.55,Five
173,Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,One
174,Redeeming Love,20.47,Five
175,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,One
176,Poems That Make Grown Women Cry,14.19,Four
177,"Nightingale, Sing",38.28,One
178,Night Sky with Exit Wounds,41.05,One
179,Mrs. Houdini,30.25,Five
180,Modern Romance,28.26,Five
181,Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),10.76,One
182,Louisa: The Extraordinary Life of Mrs. Adams,16.85,Two
183,Little Red,13.47,Three
184,Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,Five
185,Large Print Heart of the Pride,19.15,Two
186,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,Four
187,Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,One
188,Grumbles,22.16,Two
189,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,Four
190,Frostbite (Vampire Academy #2),29.99,Five
191,Follow You Home,21.36,One
192,First Steps for New Christians (Print Edition),29.00,One
193,Finders Keepers (Bill Hodges Trilogy #2),53.53,Five
194,"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,Four
195,Eureka Trivia 6.0,54.59,Four
196,Drive: The Surprising Truth About What Motivates Us,34.95,Four
197,Done Rubbed Out (Reightman & Bailey #1),37.72,Five
198,Doing It Over (Most Likely To #1),35.61,Three
199,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,Three
200,Dark Notes,19.19,Five
201,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,Three
202,Close to You,49.46,Four
203,Chasing Heaven: What Dying Taught Me About Living,37.80,Two
204,Big Magic: Creative Living Beyond Fear,30.80,Three
205,Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,Two
206,Beauty Restored (Riley Family Legacy Novellas #3),11.11,Two
207,Batman: The Long Halloween (Batman),36.50,Two
208,Batman: The Dark Knight Returns (Batman),15.38,Five
209,Ayumi's Violin,15.48,Two
210,Anonymous,46.82,Four
211,Amy Meets the Saints and Sages,18.46,Three
212,Amid the Chaos,36.58,One
213,Amatus,50.54,Five
214,Agnostic: A Spirited Manifesto,12.51,Five
215,Zealot: The Life and Times of Jesus of Nazareth,24.70,Three
216,You (You #1),43.61,Five
217,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,Four
218,Wild Swans,14.36,Two
219,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,Four
220,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.20,Four
221,What's It Like in Space?: Stories from Astronauts Who've Been There,19.60,Two
222,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.90,One
223,Walt Disney's Alice in Wonderland,12.96,Five
224,V for Vendetta (V for Vendetta Complete),37.10,Four
225,Until Friday Night (The Field Party #1),46.31,Two
226,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,Two
227,Twenty Yawns,22.08,Two
228,Through the Woods,25.38,Two
229,This Is Where It Ends,27.12,Two
230,The Year of Magical Thinking,43.04,Two
231,The Wright Brothers,56.80,Four
232,The White Queen (The Cousins' War #1),25.91,Five
233,The Wedding Pact (The O'Malleys #2),32.61,Three
234,The Time Keeper,27.88,Five
235,The Testament of Mary,52.67,Four
236,The Star-Touched Queen,46.02,Five
237,The Songs of the Gods,44.48,Five
238,The Song of Achilles,37.40,Five
239,The Rosie Project (Don Tillman #1),54.04,One
240,The Power of Habit: Why We Do What We Do in Life and Business,16.88,Three
241,The Marriage of Opposites,28.08,Four
242,The Lucifer Effect: Understanding How Good People Turn Evil,10.40,One
243,The Long Haul (Diary of a Wimpy Kid #9),44.07,One
244,The Loney,23.40,One
245,The Literature Book (Big Ideas Simply Explained),17.43,Three
246,The Last Mile (Amos Decker #2),54.21,Two
247,The Immortal Life of Henrietta Lacks,40.67,Two
248,The Hidden Oracle (The Trials of Apollo #1),52.26,Two
249,The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,Three
250,The Guilty (Will Robie #4),13.82,Two
251,The First Hostage (J.B. Collins #2),25.85,Three
252,The Dovekeepers,48.78,One
253,The Darkest Lie,35.35,Five
254,The Bane Chronicles (The Bane Chronicles #1-11),44.73,Four
255,The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,15.77,One
256,The 14th Colony (Cotton Malone #11),39.24,One
257,That Darkness (Gardiner and Renner #1),13.92,One
258,Tastes Like Fear (DI Marnie Rome #3),10.69,One
259,Take Me with You,45.21,Three
260,Swell: A Year of Waves,45.58,One
261,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,Five
262,Still Life with Bread Crumbs,26.41,Three
263,Steve Jobs,39.50,Five
264,Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,Four
265,Someone Like You (The Harrisons #2),52.79,Five
266,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,Four
267,Shtum,55.84,Four
268,See America: A Celebration of Our National Parks & Treasured Sites,48.87,Three
269,salt.,46.78,Four
270,Robin War,47.82,Three
271,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,Two
272,Rain Fish,23.57,Three
273,"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,Five
274,Pet Sematary,10.56,Three
275,"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,Three
276,Once Was a Time,18.28,Two
277,Old School (Diary of a Wimpy Kid #10),11.83,Five
278,No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,Two
279,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,Two
280,My Name Is Lucy Barton,41.56,One
281,My Mrs. Brown,24.48,Three
282,My Kind of Crazy,40.36,One
283,Mr. Mercedes (Bill Hodges Trilogy #1),28.90,One
284,More Than Music (Chasing the Dream #1),37.61,Two
285,Made to Stick: Why Some Ideas Survive and Others Die,38.85,Five
286,Luis Paints the World,53.95,Three
287,Luckiest Girl Alive,49.83,Three
288,Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,Two
289,Love Is a Mix Tape (Music #1),18.03,One
290,Looking for Lovely: Collecting the Moments that Matter,29.14,Five
291,"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,Four
292,Let It Out: A Journey Through Journaling,26.79,Five
293,Lady Midnight (The Dark Artifices #1),16.28,Five
294,"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,One
295,Island of Dragons (Unwanteds #7),29.65,One
296,I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,Four
297,I Am Pilgrim (Pilgrim #1),10.60,Four
298,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,Five
299,"Hush, Hush (Hush, Hush #1)",47.02,Three
300,Hold Your Breath (Search and Rescue #1),28.82,One
301,Hamilton: The Revolution,58.79,Three
302,Greek Mythic History,10.23,Five
303,God: The Most Unpleasant Character in All Fiction,30.03,Five
304,Glory over Everything: Beyond The Kitchen House,45.84,Three
305,Feathers: Displays of Brilliant Plumage,49.05,Three
306,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,Four
307,Every Last Word,46.47,Three
308,Eligible (The Austen Project #4),27.09,Three
309,El Deafo,57.62,Five
310,Eight Hundred Grapes,14.39,Four
311,"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,Five
312,"Eat Fat, Get Thin",54.07,Two
313,Don't Get Caught,55.35,One
314,Doctor Sleep (The Shining #2),40.12,Two
315,Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,Five
316,Dear Mr. Knightley,11.21,Five
317,Daily Fantasy Sports,36.58,One
318,Crazy Love: Overwhelmed by a Relentless God,47.72,Two
319,Cometh the Hour (The Clifton Chronicles #6),25.01,Three
320,Code Name Verity (Code Name Verity #1),22.13,Four
321,Clockwork Angel (The Infernal Devices #1),44.14,One
322,City of Glass (The Mortal Instruments #3),56.02,Four
323,City of Fallen Angels (The Mortal Instruments #4),11.23,Four
324,City of Bones (The Mortal Instruments #1),43.28,One
325,City of Ashes (The Mortal Instruments #2),47.27,One
326,Cell,20.29,Four
327,Catching Jordan (Hundred Oaks),50.83,Three
328,"Carry On, Warrior: Thoughts on Life Unarmed",31.85,Three
329,Carrie,46.23,Two
330,Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.80,Four
331,Brain on Fire: My Month of Madness,49.32,Five
332,Batman: Europa,32.01,Two
333,Barefoot Contessa Back to Basics,28.01,One
334,Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,Five
335,Balloon Animals,17.03,Three
336,Art Ops Vol. 1,48.80,Three
337,Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,Four
338,Angels Walking (Angels Walking #1),34.20,Two
339,Angels & Demons (Robert Langdon #1),51.48,Three
340,All the Light We Cannot See,29.87,Five
341,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.90,Two
342,Abstract City,56.37,Five
343,A Time of Torment (Charlie Parker #14),48.35,Five
344,A Study in Scarlet (Sherlock Holmes #1),16.73,Two
345,"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,Two
346,A People's History of the United States,40.79,Two
347,A Man Called Ove,39.72,One
348,A Distant Mirror: The Calamitous 14th Century,14.58,Three
349,A Brush of Wings (Angels Walking #3),55.51,One
350,1491: New Revelations of the Americas Before Columbus,21.80,Three
351,"The Three Searches, Meaning, and the Story",13.33,Three
352,Searching for Meaning in Gailana,38.73,One
353,Rook,37.86,Four
354,My Kitchen Year: 136 Recipes That Saved My Life,11.53,Two
355,13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,One
356,Will You Won't You Want Me?,13.86,Three
357,Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,One
358,The Star-Touched Queen,32.30,Five
359,The Silent Sister (Riley MacPherson #1),46.29,Five
360,The Midnight Watch: A Novel of the Titanic and the Californian,26.20,One
361,The Lonely City: Adventures in the Art of Being Alone,33.26,Two
362,The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,Four
363,The Golden Condom: And Other Essays on Love Lost and Found,39.43,One
364,The Epidemic (The Program 0.6),14.44,Five
365,The Dinner Party,56.54,Two
366,The Diary of a Young Girl,59.90,Three
367,The Children,11.88,Three
368,Stars Above (The Lunar Chronicles #4.5),48.05,Two
369,Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,Three
370,Raspberry Pi Electronics Projects for the Evil Genius,49.67,Four
371,Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,One
372,Psycho: Sanitarium (Psycho #1.5),36.97,Five
373,Poisonous (Max Revere Novels #3),26.80,Three
374,One with You (Crossfire #5),15.71,Four
375,No Love Allowed (Dodge Cove #1),54.65,Four
376,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,Four
377,Most Wanted,35.28,Three
378,"Love, Lies and Spies",20.55,Two
379,How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,Five
380,Hide Away (Eve Duncan #20),11.84,One
381,Furiously Happy: A Funny Book About Horrible Things,41.46,Four
382,Everyday Italian: 125 Simple and Delicious Recipes,20.10,Five
383,Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,One
384,Eleanor & Park,56.51,Five
385,Dirty (Dive Bar #1),40.83,Four
386,Can You Keep a Secret? (Fear Street Relaunch #4),48.64,One
387,Boar Island (Anna Pigeon #19),59.48,Three
388,A Paris Apartment,39.01,Four
389,"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,One
390,Troublemaker: Surviving Hollywood and Scientology,48.39,Two
391,The Widow,27.26,Two
392,"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,Four
393,The Improbability of Love,59.45,One
394,The Art of Startup Fundraising,21.00,Three
395,Take Me Home Tonight (Rock Star Romance #3),53.98,Three
396,Sleeping Giants (Themis Files #1),48.74,One
397,"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,Two
398,Playing with Fire,13.71,Three
399,Off the Hook (Fishing for Trouble #1),47.67,Three
400,Mothering Sunday,13.34,Two
401,"Mother, Can You Not?",16.89,Five
402,M Train,27.18,One
403,Lilac Girls,17.28,Two
404,Lies and Other Acts of Love,45.14,One
405,Lab Girl,40.85,One
406,Keep Me Posted,20.46,Four
407,It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,56.27,Three
408,Grey (Fifty Shades #4),48.49,Four
409,"Exit, Pursued by a Bear",51.34,Four
410,Daredevils,16.34,Three
411,Cravings: Recipes for What You Want to Eat,20.50,Three
412,Born for This: How to Find the Work You Were Meant to Do,21.59,Five
413,Arena,21.36,Four
414,Adultery,20.88,Five
415,A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,Three
416,A Gentleman's Position (Society of Gentlemen #3),14.75,Five
417,11/22/63,48.48,Three
418,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,Two
419,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,49.71,Five
420,Without Shame,48.27,Five
421,Watchmen,58.05,Four
422,Unlimited Intuition Now,58.87,Four
423,Underlying Notes,11.82,Two
424,The Shack,28.03,One
425,The New Brand You: Your New Image Makes the Sale for You,44.05,Five
426,"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,Four
427,The Flowers Lied,16.68,Two
428,"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,One
429,The Book of Mormon,24.57,Three
430,The Art and Science of Low Carbohydrate Living,52.98,Five
431,The Alien Club,54.40,One
432,Suzie Snowflake: One beautiful flake (a self-esteem story),54.81,Five
433,Nap-a-Roo,25.08,One
434,"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,Four
435,Modern Day Fables,47.44,Two
436,If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91,One
437,"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,Four
438,Dress Your Family in Corduroy and Denim,43.68,Three
439,Don't Forget Steven,33.23,One
440,Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,Two
441,Art and Fear: Observations on the Perils (and Rewards) of Artmaking,48.63,Four
442,A Shard of Ice (The Black Symphony Saga #1),56.63,Three
443,A Hero's Curse (The Unseen Chronicles #1),50.49,Three
444,23 Degrees South: A Tropical Tale of Changing Whether...,35.79,Two
445,"Zero to One: Notes on Startups, or How to Build the Future",34.06,Three
446,Why Not Me?,17.76,One
447,When Breath Becomes Air,39.36,Two
448,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,Two
449,The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),43.62,Five
450,The New Drawing on the Right Side of the Brain,43.02,Three
451,"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,Four
452,The Martian (The Martian #1),41.39,Two
453,The High Mountains of Portugal,51.15,One
454,The Grownup,35.88,One
455,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,One
456,South of Sunshine,28.93,One
457,Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,Five
458,Silence in the Dark (Logan Point #4),58.33,Three
459,Shadows of the Past (Logan Point #1),39.67,Five
460,Roller Girl,14.10,Five
461,Rising Strong,21.82,Three
462,Proofs of God: Classical Arguments from Tertullian to Barth,54.21,One
463,Please Kill Me: The Uncensored Oral History of Punk,31.19,Four
464,Out of Print: City Lights Spotlight No. 14,53.64,Five
465,My Life Next Door (My Life Next Door ),36.39,Five
466,Miller's Valley,58.54,Two
467,Man's Search for Meaning,29.48,Three
468,"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,Two
469,Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,Three
470,Les Fleurs du Mal,29.04,Five
471,Left Behind (Left Behind #1),40.72,Two
472,Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,Five
473,Kierkegaard: A Christian Missionary to Christians,47.13,One
474,John Vassos: Industrial Design for Modern Life,20.22,Four
475,I'll Give You the Sun,56.48,One
476,I Will Find You,44.21,One
477,Hystopia: A Novel,21.96,Four
478,Howl and Other Poems,40.45,Two
479,History of Beauty,10.29,Four
